"bpt","r_r200","zoo"
0,-0.960218978,"E"
0,-0.957190986,"E"
1,-0.860219744,"E"
0,-0.805846223,"E"
1,-0.85519834,"E"
0,-0.975864079,"E"
0,-1.035847805,"E"
0,-0.964835196,"E"
1,-0.757996334,"E"
1,-0.707351579,"E"
1,-0.978682525,"E"
0,-0.931813475,"E"
0,-0.841154938,"E"
1,-0.975333271,"E"
1,-0.723309973,"E"
0,-0.603055338,"E"
1,-0.616265067,"E"
0,-0.859473711,"E"
1,-0.77525,"E"
0,-0.997559216,"E"
1,-0.512723582,"E"
1,-0.408072521,"E"
1,-0.752622076,"E"
1,-0.926728155,"E"
0,-0.777269018,"E"
1,-0.928594327,"E"
0,-0.960361912,"E"
1,-0.736455277,"E"
0,-1.014307999,"E"
0,-0.968115201,"E"
0,-0.793927132,"E"
0,-0.854370555,"E"
0,-0.687829552,"E"
1,-0.481358131,"E"
0,-0.954195695,"E"
1,-0.88986311,"E"
0,-0.893500805,"E"
0,-0.645645042,"E"
0,-0.666293516,"E"
0,-0.810313474,"E"
0,-0.904714641,"E"
1,-0.517253053,"E"
1,-0.976914095,"E"
0,-1.036951721,"E"
0,-0.508849067,"E"
0,-0.752761016,"E"
1,-0.845802888,"E"
0,-0.829189842,"E"
0,-0.955932351,"E"
0,-0.97714852,"E"
0,-0.52599159,"E"
0,-0.54724452,"E"
0,-0.804840037,"E"
1,-0.940761517,"E"
1,-0.933630415,"E"
0,-0.812293856,"E"
0,-0.801796261,"E"
1,-0.999413295,"E"
0,-0.979439574,"E"
1,-0.914957378,"E"
1,-0.54118124,"E"
0,-0.57738282,"E"
0,-0.436037176,"E"
0,-0.825908695,"E"
0,-0.939568309,"E"
1,-0.978849233,"E"
0,-0.836789501,"E"
1,-0.847732146,"E"
1,-1.036676996,"E"
0,-0.9921992,"E"
0,-0.612282159,"E"
1,-0.742733058,"E"
0,-0.899543807,"E"
0,-0.901956406,"E"
0,-0.429783159,"E"
0,-1.000525238,"E"
0,-0.68585269,"E"
1,-0.825628851,"E"
0,-0.990819131,"E"
0,-1.017329208,"E"
0,-0.817555066,"E"
0,-0.94254563,"E"
0,-0.811033957,"E"
1,-0.597957075,"E"
1,-0.913851002,"E"
0,-0.907865354,"E"
